t,setpoint,measurement,error,p_term,i_term,d_term,control
8.1,1.0,0.9775039014007787,0.02284132145889628,0.04568264291779256,0.9404624258935326,-0.0007010416380226481,0.9854440271733025
8.15,1.0,0.977843906397271,0.022496098599221304,0.04499219719844261,0.9413622698375014,-0.0006904457193499525,0.985664021316594
8.200000000000001,1.0,0.9781787724138049,0.022156093602728966,0.04431218720545793,0.9422485135816105,-0.0006800099929846759,0.9858806907940838
8.25,1.0,0.9785085771392456,0.02182122758619509,0.04364245517239018,0.9431213626850584,-0.0006697320330677492,0.9860940858243809
8.3,1.0,0.9788333970863652,0.02149142286075445,0.0429828457215089,0.9439810195994887,-0.0006596094508812822,0.9863042558701163
8.35,1.0,0.979153307609811,0.021166602913634813,0.04233320582726963,0.944827683716034,-0.0006496398942392734,0.9865112496490643
8.4,1.0,0.9794683829237826,0.020846692390188992,0.041693384780377984,0.9456615514116415,-0.0006398210468916421,0.9867151151451279
8.450000000000001,1.0,0.9797786961194243,0.020531617076217423,0.04106323415243485,0.9464828160946901,-0.0006301506279431379,0.9869158996191818
8.5,1.0,0.9800843191819392,0.020221303880575747,0.040442607761151494,0.9472916682499131,-0.0006206263912833521,0.9871136496197812
8.55,1.0,0.9803853230074303,0.019915680818060832,0.039831361636121665,0.9480882954826355,-0.0006112461250298296,0.9873084109937273
8.6,1.0,0.9806817774194747,0.01961467699256969,0.03922935398513938,0.9488728825623381,-0.0006020076509822836,0.9875002288964952
8.65,1.0,0.980973751185435,0.01931822258052529,0.03863644516105058,0.9496456114655593,-0.0005929088240888003,0.987689147802521
8.700000000000001,1.0,0.9812613120325148,0.01902624881456505,0.0380524976291301,0.9504066614181419,-0.0005839475319204812,0.9878752115153515
8.75,1.0,0.9815445266635622,0.018738687967485235,0.03747737593497047,0.9511562089368413,-0.0005751216941596304,0.9880584631776521
8.8,1.0,0.9818234607726254,0.018455473336437822,0.036910946672875644,0.9518944278702988,-0.0005664292620948252,0.9882389452810796
